縣市別,行業別,媒介物,災害類型,發生日期,死,傷
新竹市,專業、科學及技術服務業,拖板車,公路交通事故,2017/8/7,0,4
新竹縣,批發及零售業,電線桿,公路交通事故,2017/8/7,1,0
新竹市,製造業,原動機(馬達),感電,2017/8/7,1,0
嘉義縣,營造業,梯子等,墜落、滾落,2017/8/7,1,0
桃園市,製造業,其他,被夾、被捲,2017/8/8,1,0
高雄市,營造業,其他媒介物,物體飛落,2017/8/10,1,0
彰化縣,製造業,輸配電線路,感電,2017/8/10,1,0
台中市,營造業,其他(捲揚機),墜落、滾落,2017/8/11,1,0
嘉義縣,製造業,金屬材料,物體倒塌、崩塌,2017/8/12,1,0
雲林縣,公共行政及國防；強制性社會安全,汽車、公共汽車,公路交通事故,2017/8/15,1,2
桃園市,營造業,施工架,墜落、滾落,2017/8/18,1,0
桃園市,營造業,營建物,物體飛落,2017/8/19,1,0
新北市,製造業,PVC塑膠粒子太空包,物體倒塌、崩塌,2017/8/19,1,0
台北市,營造業,其他,物體飛落,2017/8/21,1,0
台中市,營造業,營建物,墜落、滾落,2017/8/23,1,0
新北市,營造業,梯子等,墜落、滾落,2017/8/23,1,0
桃園市,支援服務業,其他,被撞,2017/8/23,1,0
台北市,專業、科學及技術服務業,輸配電線路,感電,2017/8/24,1,0
台南市,營造業,營建物,墜落、滾落,2017/8/25,1,0
台中市,農、林、漁、牧業,梯子,墜落、滾落,2017/8/25,1,0
台南市,營造業,梯子,墜落、滾落,2017/8/25,1,0
高雄市,運輸及倉儲業,金屬材料,物體飛落,2017/8/25,1,0
宜蘭縣,營造業,營建物,物體飛落,2017/8/29,1,0
台中市,製造業,其他,感電,2017/8/29,1,0
新竹縣,營造業,施工架,墜落、滾落,2017/8/29,1,0
新北市,製造業,輸配電路線,感電,2017/8/30,1,0
桃園市,專業、科學及技術服務業,其他設備,墜落、滾落,2017/9/3,1,0
高雄市,製造業,採光罩,墜落、滾落,2017/9/5,1,0
桃園市,製造業,屋頂、屋架、樑,墜落、滾落,2017/9/5,1,0
高雄市,批發及零售業,移動式工作台,墜落、滾落,2017/9/6,1,0
台中市,專業、科學及技術服務業,輸配電線路,墜落、滾落,2017/9/6,1,0
台南市,營造業,開口部分,墜落、滾落,2017/9/6,1,0
苗栗縣,其他服務業,輸配電線路,感電,2017/9/7,1,0
新北市,營造業,開口部分,墜落、滾落,2017/9/7,1,0
台南市,製造業,開口部分,墜落、滾落,2017/9/8,1,0
台南市,營造業,梯子等,墜落、滾落,2017/9/9,1,0
花蓮縣,營造業,開口部分,墜落、滾落,2017/9/10,1,0
宜蘭縣,營造業,土砂、岩石,物體倒塌、崩塌,2017/9/11,1,0
新北市,批發及零售業,開口部分,墜落、滾落,2017/9/14,1,0
彰化縣,營造業,營建物,墜落、滾落,2017/9/15,1,0
苗栗縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/9/16,1,0
新北市,營造業,開口部分,墜落、滾落,2017/9/18,1,0
高雄市,營造業,開口部分,墜落、滾落,2017/9/21,1,0
新竹縣,製造業,機器,被夾、被捲,2017/9/22,1,0
苗栗縣,製造業,電焊機,感電,2017/9/22,1,0
台南市,批發及零售業,屋頂、屋架、樑,墜落、滾落,2017/9/22,1,0
屏東縣,營造業,無媒介物,無法歸類者,2017/9/23,1,0
新北市,運輸及倉儲業,貨車,物體倒塌、崩塌,2017/9/23,1,0
新竹縣,營造業,支撐架,墜落、滾落,2017/9/26,1,0
桃園市,不動產業,營建物,物體倒塌、崩塌,2017/9/28,1,2
新北市,運輸及倉儲業,堆高機,墜落、滾落,2017/9/28,1,0
台中市,批發及零售業,其他,被夾、被捲,2017/9/28,1,0
新北市,營造業,施工架,墜落、滾落,2017/9/29,1,0
南投縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/10/2,1,0
桃園市,營造業,其他,感電,2017/10/5,1,0
新竹縣,營造業,施工架,墜落、滾落,2017/10/6,1,0
新北市,營造業,高空工作車,墜落、滾落,2017/10/7,1,0
台北市,專業、科學及技術服務業,屋頂、屋架、樑,墜落、滾落,2017/10/10,1,0
台南市,製造業,開口部分,墜落、滾落,2017/10/11,1,0
雲林縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/10/12,1,0
台南市,製造業,其他,被夾、被捲,2017/10/12,1,0
台中市,營造業,模板,物體飛落,2017/10/12,1,2
台南市,製造業,廢水大桶,溺斃,2017/10/14,2,0
新北市,營造業,開口部分,墜落、滾落,2017/10/15,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2017/10/17,1,0
台中市,批發及零售業,吊籠,墜落、滾落,2017/10/17,1,0
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/10/19,1,0
新竹縣,製造業,電,感電,2017/10/21,1,0
新北市,營造業,開口部分,墜落、滾落,2017/10/22,1,0
新竹市,用水供應及汙染整治業,汽車,公路交通事故,2017/10/23,1,0
花蓮縣,公共行政及國防；強制性社會安全,特殊環境,墜落、滾落,2017/10/25,1,0
台中市,製造業,壓力管,物體飛落,2017/10/26,1,1
台南市,營造業,營建物,墜落、滾落,2017/10/28,1,0
新竹縣,營造業,鋼筋電剪,感電,2017/11/1,1,0
新北市,營造業,開口部分,墜落、滾落,2017/11/4,1,0
台南市,製造業,屋頂、屋架、樑,墜落、滾落,2017/11/4,1,0
高雄市,營造業,施工架開口處,墜落、滾落,2017/11/7,1,0
雲林縣,批發及零售業,屋頂、屋架、樑,墜落、滾落,2017/11/7,1,0
桃園市,製造業,模具,物體倒塌、崩塌,2017/11/8,1,0
桃園市,公共行政及國防；強制性社會安全,混凝土預拌車,公路交通事故,2017/11/8,1,0
台南市,營造業,開口部分,溺斃,2017/11/8,1,0
台南市,製造業,其他,感電,2017/11/8,1,0
彰化縣,其他服務業,電弧熔接,爆炸,2017/11/10,1,0
台南市,營造業,其他設備（電鑽),感電,2017/11/11,1,0
新竹縣,營造業,卡車,墜落、滾落,2017/11/13,1,0
台南市,營造業,樓梯,墜落、滾落,2017/11/14,1,0
新竹市,營造業,開口部分,墜落、滾落,2017/11/15,1,0
